Country,Happiness score,Year
Jamaica,5.89,2020
Portugal,5.91,2020
Ecuador,5.93,2020
Latvia,5.95,2020
Honduras,5.95,2020
Argentina,5.97,2020
Thailand,6.0,2020
Hungary,6.0,2020
Philippines,6.01,2020
Estonia,6.02,2020
Kazakhstan,6.06,2020
Mauritius,6.1,2020
Kuwait,6.1,2020
Romania,6.12,2020
Nicaragua,6.14,2020
Cyprus,6.16,2020
Colombia,6.16,2020
Poland,6.19,2020
Lithuania,6.22,2020
Bahrain,6.23,2020
Chile,6.23,2020
Uzbekistan,6.26,2020
Slovakia,6.28,2020
Panama,6.3,2020
Kosovo,6.33,2020
El Salvador,6.35,2020
Slovenia,6.36,2020
Brazil,6.38,2020
Singapore,6.38,2020
Italy,6.39,2020
Guatemala,6.4,2020
Spain,6.4,2020
Saudi Arabia,6.41,2020
Uruguay,6.44,2020
Mexico,6.47,2020
France,6.66,2020
Malta,6.77,2020
United Arab Emirates,6.79,2020
Belgium,6.86,2020
United States,6.94,2020
Germany,7.08,2020
Ireland,7.09,2020
Costa Rica,7.12,2020
Israel,7.13,2020
United Kingdom,7.16,2020
Australia,7.22,2020
Canada,7.23,2020
Luxembourg,7.24,2020
Austria,7.29,2020
New Zealand,7.3,2020
Sweden,7.35,2020
Netherlands,7.45,2020
Norway,7.49,2020
Iceland,7.5,2020
Switzerland,7.56,2020
Denmark,7.65,2020
Finland,7.81,2020
Afghanistan,2.52,2021
Zimbabwe,3.14,2021
Rwanda,3.42,2021
Botswana,3.47,2021
Lesotho,3.51,2021
Malawi,3.6,2021
Tanzania,3.62,2021
Yemen,3.66,2021
India,3.82,2021
Sierra Leone,3.85,2021
Zambia,4.07,2021
Togo,4.11,2021
Madagascar,4.21,2021
Mauritania,4.23,2021
Ethiopia,4.28,2021
Egypt,4.28,2021
Comoros,4.29,2021
Sri Lanka,4.32,2021
Chad,4.36,2021
Jordan,4.39,2021
Myanmar,4.43,2021
Palestinian Territories,4.52,2021
Namibia,4.57,2021
Lebanon,4.58,2021
Tunisia,4.6,2021
Kenya,4.61,2021
Liberia,4.62,2021
Uganda,4.64,2021
Iran,4.72,2021
Mali,4.72,2021
Nigeria,4.76,2021
Mozambique,4.79,2021
Cambodia,4.83,2021
Burkina Faso,4.83,2021
Gabon,4.85,2021
Iraq,4.85,2021
Ukraine,4.88,2021
Algeria,4.89,2021
Georgia,4.89,2021
Venezuela,4.89,2021
Morocco,4.92,2021
Pakistan,4.93,2021
Turkey,4.95,2021
South Africa,4.96,2021
Guinea,4.98,2021
Bangladesh,5.03,2021
Laos,5.03,2021
Benin,5.04,2021
Gambia,5.05,2021
Turkmenistan,5.07,2021
Niger,5.07,2021
Ghana,5.09,2021
Albania,5.12,2021
Senegal,5.13,2021
Cameroon,5.14,2021
Azerbaijan,5.17,2021
Bulgaria,5.27,2021
Nepal,5.27,2021
Armenia,5.28,2021
Ivory Coast,5.31,2021
China,5.34,2021
Indonesia,5.34,2021
Malaysia,5.38,2021
Libya,5.41,2021
Vietnam,5.41,2021
Tajikistan,5.47,2021
Russia,5.48,2021
Belarus,5.53,2021
Dominican Republic,5.54,2021
Montenegro,5.58,2021
Paraguay,5.65,2021
Mongolia,5.68,2021
Bolivia,5.72,2021
Greece,5.72,2021
Kyrgyzstan,5.74,2021
Ecuador,5.76,2021
Moldova,5.77,2021
Bosnia and Herzegovina,5.81,2021
Peru,5.84,2021
South Korea,5.84,2021
Philippines,5.88,2021
Croatia,5.88,2021
Honduras,5.92,2021
